price	invoice	biprice	hp	es	mpg	age	region	drtype
36.9 	33.3 	0 	265	3.5	17	6.4	AREA1	FWD
23.8 	21.8 	1 	200	2.0	24	4.2	AREA1	RWD
27.0 	24.6 	0 	200	2.4	22	4.1	AREA1	RWD
33.2 	30.3 	0 	270	3.2	20	6.6	AREA1	RWD
43.8 	39.0 	0 	225	3.5	18	6.4	AREA1	RWD
46.1 	41.1 	0 	225	3.5	18	6.8	AREA1	RWD
89.8 	80.0 	0 	290	3.2	17	6.1	AREA1	AWD
25.9 	23.5 	0 	170	1.8	22	4.2	AREA1	RWD
35.9 	32.5 	0 	170	1.8	23	4.4	AREA1	RWD
31.8 	28.8 	0 	220	3.0	20	6.5	AREA1	RWD
33.4 	30.4 	0 	220	3.0	17	6.1	AREA1	FWD
34.5 	31.4 	0 	220	3.0	18	6.4	AREA1	FWD
36.6 	33.1 	0 	220	3.0	20	6.2	AREA1	RWD
39.6 	36.0 	0 	220	3.0	18	6.8	AREA1	FWD
42.5 	38.3 	0 	220	3.0	20	6.8	AREA1	RWD
44.2 	40.1 	0 	220	3.0	18	6.7	AREA1	FWD
42.8 	38.8 	0 	250	2.7	18	6.6	AREA1	FWD
49.7 	44.9 	0 	300	4.2	17	8.8	AREA1	FWD
69.2 	64.7 	0 	330	4.2	17	8.1	AREA1	FWD
48.0 	43.6 	0 	340	4.2	14	8.2	AREA1	FWD
84.6 	76.4 	0 	450	4.2	15	8.3	AREA1	RWD
35.9 	32.5 	0 	180	1.8	20	4.3	AREA1	RWD
37.4 	33.9 	0 	225	1.8	20	4.5	AREA1	FWD
40.6 	36.7 	0 	250	3.2	21	6.2	AREA1	FWD
40.8 	37.1 	0 	220	3.0	18	6.7	AREA1	FWD
49.1 	44.4 	0 	340	4.2	15	8.3	AREA1	FWD
37.0 	33.9 	0 	225	3.0	16	6.2	AREA1	FWD
52.2 	47.7 	0 	325	4.4	16	8.5	AREA1	FWD
28.5 	26.2 	0 	184	2.5	20	6.9	AREA1	AWD
30.8 	28.2 	0 	184	2.5	20	6.1	AREA1	AWD
38.0 	34.8 	0 	184	2.5	19	7.0	AREA1	AWD
30.2 	27.7 	0 	184	2.5	19	6.6	AREA1	FWD
35.5 	32.5 	0 	225	3.0	20	6.5	AREA1	AWD
37.0 	33.9 	0 	225	3.0	20	6.8	AREA1	AWD
37.2 	34.1 	0 	225	3.0	20	6.6	AREA1	FWD
40.0 	36.6 	0 	184	2.5	19	6.5	AREA1	AWD
44.3 	40.5 	0 	225	3.0	19	6.5	AREA1	AWD
45.0 	41.2 	0 	225	3.0	20	6.5	AREA1	AWD
55.0 	50.3 	0 	325	4.4	18	8.2	AREA1	AWD
69.2 	63.2 	0 	325	4.4	18	8.5	AREA1	AWD
73.2 	66.8 	0 	325	4.4	18	8.4	AREA1	AWD
48.2 	44.2 	0 	333	3.2	16	6.7	AREA1	AWD
56.6 	51.8 	0 	333	3.2	16	6.4	AREA1	AWD
33.9 	31.1 	0 	184	2.5	20	6.3	AREA1	AWD
41.0 	37.6 	0 	225	3.0	21	6.9	AREA1	AWD
32.8 	30.1 	0 	184	2.5	19	6.8	AREA1	FWD
37.9 	34.4 	0 	275	4.2	15	6.7	AREA2	FWD
26.5 	24.1 	0 	185	3.4	19	6.8	AREA2	RWD
22.2 	20.4 	1 	175	3.1	20	7.0	AREA2	RWD
26.5 	24.3 	0 	205	3.8	20	6.6	AREA2	RWD
24.9 	22.8 	1 	200	3.8	20	6.2	AREA2	RWD
28.3 	26.0 	0 	240	3.8	18	6.5	AREA2	RWD
32.2 	29.6 	0 	205	3.8	20	6.8	AREA2	RWD
35.5 	32.2 	0 	205	3.8	20	6.5	AREA2	RWD
40.7 	36.9 	0 	240	3.8	18	6.1	AREA2	RWD
52.8 	48.4 	0 	295	5.3	14	8.3	AREA2	RWD
47.0 	43.5 	0 	320	4.6	16	8.5	AREA2	RWD
30.8 	28.6 	0 	255	3.6	18	6.9	AREA2	AWD
45.4 	41.7 	0 	275	4.6	18	8.8	AREA2	RWD
50.6 	46.4 	0 	300	4.6	18	8.1	AREA2	RWD
48.0 	43.8 	0 	275	4.6	18	8.2	AREA2	RWD
76.2 	70.5 	0 	320	4.6	17	8.3	AREA2	AWD
53.0 	48.5 	0 	345	6.0	13	8.4	AREA2	FWD
42.7 	37.4 	0 	295	5.3	14	8.3	AREA2	RWD
41.5 	36.3 	0 	295	5.3	14	8.6	AREA2	FWD
30.3 	27.5 	0 	275	4.2	16	6.5	AREA2	RWD
20.3 	19.1 	1 	165	2.5	19	6.5	AREA2	RWD
11.7 	11.0 	1 	103	1.6	28	4.3	AREA2	RWD
12.6 	11.8 	1 	103	1.6	28	4.1	AREA2	RWD
14.6 	13.7 	1 	140	2.2	26	4.7	AREA2	RWD
14.8 	13.9 	1 	140	2.2	26	4.0	AREA2	RWD
16.4 	15.4 	1 	140	2.2	26	4.5	AREA2	RWD
21.9 	20.1 	1 	180	3.4	21	6.6	AREA2	RWD
19.0 	17.4 	1 	145	2.2	24	4.8	AREA2	RWD
20.4 	18.6 	1 	200	3.5	22	6.4	AREA2	RWD
21.8 	20.0 	1 	180	3.4	21	6.2	AREA2	RWD
25.0 	22.9 	0 	200	3.8	20	6.4	AREA2	RWD
28.0 	25.7 	0 	240	3.8	18	7.0	AREA2	RWD
23.5 	21.6 	1 	200	3.5	23	6.2	AREA2	RWD
24.2 	22.2 	1 	200	3.8	18	6.2	AREA2	RWD
26.4 	24.0 	0 	190	4.3	14	6.2	AREA2	FWD
27.0 	24.5 	0 	185	3.4	19	6.5	AREA2	RWD
44.5 	39.1 	0 	350	5.7	18	8.1	AREA2	AWD
51.5 	45.2 	0 	350	5.7	18	8.1	AREA2	AWD
36.1 	31.7 	0 	295	5.3	14	8.5	AREA2	FWD
18.8 	17.1 	1 	175	2.8	18	4.6	AREA2	FWD
20.3 	18.5 	1 	200	4.3	15	6.7	AREA2	AWD
40.3 	35.4 	0 	300	6.0	13	8.8	AREA2	FWD
42.0 	39.3 	0 	300	5.3	16	8.6	AREA2	AWD
22.2 	20.4 	1 	200	3.5	22	6.1	AREA2	RWD
18.0 	16.9 	1 	150	2.4	22	4.2	AREA2	RWD
22.0 	20.6 	1 	150	2.4	22	4.8	AREA2	RWD
19.1 	17.8 	1 	150	2.4	22	4.8	AREA2	RWD
21.8 	20.3 	1 	200	2.7	21	6.9	AREA2	RWD
29.9 	27.8 	0 	250	3.5	18	7.0	AREA2	RWD
24.1 	22.5 	1 	200	2.7	21	6.1	AREA2	RWD
26.9 	24.9 	0 	232	3.5	19	6.8	AREA2	RWD
26.0 	24.2 	0 	220	2.4	21	4.7	AREA2	RWD
25.2 	23.5 	0 	150	2.4	22	4.8	AREA2	RWD
33.3 	30.9 	0 	255	3.5	18	6.9	AREA2	RWD
31.0 	28.6 	0 	200	2.7	21	6.5	AREA2	RWD
27.5 	25.4 	0 	180	3.3	19	6.4	AREA2	RWD
38.4 	35.1 	0 	215	3.8	18	6.5	AREA2	RWD
34.5 	32.0 	0 	215	3.2	17	6.0	AREA2	AWD
31.2 	28.7 	0 	250	3.5	17	6.1	AREA2	AWD
32.2 	29.5 	0 	230	4.7	15	8.5	AREA2	FWD
13.7 	12.8 	1 	132	2.0	29	4.8	AREA2	RWD
15.0 	14.1 	1 	132	2.0	29	4.8	AREA2	RWD
22.0 	20.5 	1 	200	2.7	21	6.8	AREA2	RWD
18.8 	17.5 	1 	150	2.4	21	4.8	AREA2	RWD
20.2 	18.8 	1 	150	2.4	21	4.3	AREA2	RWD
24.9 	23.1 	1 	232	3.5	18	6.9	AREA2	RWD
21.8 	20.5 	1 	150	2.4	20	4.8	AREA2	RWD
32.7 	29.8 	0 	215	3.8	18	6.5	AREA2	FWD
81.8 	74.5 	0 	500	8.3	12	10.2	AREA2	AWD
17.6 	16.3 	1 	210	3.7	16	6.1	AREA2	AWD
20.3 	18.7 	1 	210	3.7	16	6.6	AREA2	AWD
20.2 	18.1 	1 	215	3.7	16	6.4	AREA2	AWD
41.5 	36.5 	0 	310	6.8	10	10.3	AREA2	FWD
34.6 	30.5 	0 	232	4.6	15	8.8	AREA2	RWD
29.7 	27.0 	0 	210	4.0	15	6.6	AREA2	FWD
22.5 	20.9 	1 	201	3.0	18	6.8	AREA2	FWD
13.3 	12.5 	1 	130	2.0	26	4.6	AREA2	RWD
13.7 	12.9 	1 	110	2.0	27	4.6	AREA2	RWD
15.5 	14.5 	1 	130	2.0	26	4.3	AREA2	RWD
15.6 	14.6 	1 	130	2.0	26	4.6	AREA2	RWD
19.1 	17.9 	1 	170	2.0	21	4.7	AREA2	RWD
20.3 	18.9 	1 	155	3.0	20	6.6	AREA2	RWD
22.7 	20.9 	1 	201	3.0	19	6.1	AREA2	RWD
24.3 	22.9 	1 	224	4.6	17	8.8	AREA2	AWD
27.4 	25.1 	0 	224	4.6	17	8.3	AREA2	AWD
30.3 	27.8 	0 	239	4.6	17	8.4	AREA2	AWD
26.9 	24.5 	0 	193	3.9	17	6.4	AREA2	RWD
18.3 	16.9 	1 	193	3.8	20	6.7	AREA2	AWD
29.4 	26.9 	0 	260	4.6	17	8.4	AREA2	AWD
37.5 	34.5 	0 	280	3.9	17	8.3	AREA2	RWD
22.0 	19.5 	1 	231	4.6	15	8.8	AREA2	AWD
33.5 	29.4 	0 	300	5.4	14	8.9	AREA2	FWD
14.4 	13.7 	1 	143	2.3	24	4.5	AREA2	AWD
17.5 	16.4 	1 	130	2.0	26	4.9	AREA2	RWD
22.3 	20.5 	1 	155	3.0	19	6.7	AREA2	RWD
31.9 	28.9 	0 	275	4.2	15	6.7	AREA2	RWD
35.7 	31.4 	0 	285	4.8	16	8.4	AREA2	RWD
46.3 	40.5 	0 	325	6.0	13	8.6	AREA2	FWD
25.6 	23.2 	0 	190	4.3	16	6.4	AREA2	AWD
16.5 	14.9 	1 	175	2.8	18	4.1	AREA2	AWD
25.7 	22.6 	0 	285	4.8	17	8.2	AREA2	AWD
29.3 	25.8 	0 	300	6.0	13	8.7	AREA2	FWD
25.4 	23.0 	0 	190	4.3	15	6.1	AREA2	FWD
20.1 	18.5 	1 	93	1.4	46	4.7	AREA1	RWD
19.1 	17.9 	1 	73	2.0	60	3.8	AREA1	RWD
27.6 	24.8 	0 	240	3.5	17	6.0	AREA1	FWD
19.9 	18.4 	1 	160	2.4	21	4.6	AREA1	FWD
18.7 	17.3 	1 	160	2.4	21	4.2	AREA1	FWD
13.3 	12.2 	1 	115	1.7	32	4.5	AREA1	RWD
14.2 	13.0 	1 	117	1.7	36	4.7	AREA1	RWD
15.9 	14.5 	1 	115	1.7	32	4.7	AREA1	RWD
19.9 	17.9 	1 	160	2.4	26	4.2	AREA1	RWD
22.3 	20.1 	1 	160	2.4	26	4.9	AREA1	RWD
17.8 	16.3 	1 	127	1.7	32	4.8	AREA1	RWD
19.5 	17.8 	1 	160	2.0	26	4.5	AREA1	RWD
23.8 	21.4 	1 	240	3.0	21	6.7	AREA1	RWD
27.0 	24.3 	0 	240	3.0	21	6.4	AREA1	RWD
25.0 	22.5 	1 	240	3.5	18	6.9	AREA1	RWD
27.5 	24.7 	0 	240	3.5	18	6.9	AREA1	RWD
33.3 	30.0 	0 	240	2.2	20	4.6	AREA1	AWD
50.0 	45.8 	0 	316	6.0	10	8.4	AREA2	FWD
21.6 	20.2 	1 	173	2.7	20	6.8	AREA1	RWD
10.5 	10.1 	1 	103	1.6	29	4.6	AREA1	RWD
11.8 	11.1 	1 	103	1.6	29	4.9	AREA1	RWD
11.9 	11.2 	1 	103	1.6	29	4.9	AREA1	RWD
13.8 	12.8 	1 	138	2.0	26	4.3	AREA1	RWD
15.4 	14.2 	1 	138	2.0	26	4.3	AREA1	RWD
15.4 	14.2 	1 	138	2.0	26	4.5	AREA1	RWD
19.3 	17.6 	1 	170	2.7	19	6.3	AREA1	RWD
20.3 	18.4 	1 	170	2.7	19	6.3	AREA1	RWD
24.6 	22.1 	1 	194	3.5	17	6.0	AREA1	RWD
26.2 	23.5 	0 	194	3.5	17	6.6	AREA1	RWD
18.7 	17.1 	1 	172	2.7	19	6.6	AREA1	RWD
28.5 	26.2 	0 	260	3.5	18	6.0	AREA1	AWD
29.8 	27.5 	0 	280	3.5	18	6.6	AREA1	AWD
32.4 	29.8 	0 	260	3.5	18	6.4	AREA1	FWD
31.1 	28.3 	0 	255	3.5	19	6.8	AREA1	RWD
42.8 	38.8 	0 	340	4.5	17	8.8	AREA1	AWD
52.5 	47.6 	0 	340	4.5	17	8.6	AREA1	AWD
34.9 	31.8 	0 	280	3.5	16	6.5	AREA1	AWD
36.4 	33.1 	0 	315	4.5	15	8.2	AREA1	FWD
31.8 	30.0 	0 	275	4.2	15	6.8	AREA1	FWD
20.4 	19.3 	1 	193	3.2	17	6.5	AREA1	RWD
30.0 	27.4 	0 	192	2.5	18	6.4	AREA1	FWD
34.0 	31.0 	0 	227	3.0	18	6.5	AREA1	FWD
43.9 	40.0 	0 	235	3.0	18	6.3	AREA1	AWD
50.0 	45.6 	0 	294	4.2	18	8.4	AREA1	AWD
63.1 	57.5 	0 	390	4.2	17	8.9	AREA1	AWD
69.0 	62.8 	0 	294	4.2	18	8.7	AREA1	AWD
60.0 	54.7 	0 	294	4.2	18	8.3	AREA1	AWD
75.0 	68.3 	0 	390	4.2	17	8.8	AREA1	AWD
70.0 	63.8 	0 	294	4.2	18	8.4	AREA1	AWD
75.0 	68.3 	0 	294	4.2	18	8.7	AREA1	AWD
82.0 	74.7 	0 	390	4.2	16	8.5	AREA1	AWD
87.0 	79.2 	0 	390	4.2	16	8.4	AREA1	AWD
27.9 	25.7 	0 	195	4.0	16	6.9	AREA2	RWD
20.1 	19.0 	1 	150	2.4	20	4.4	AREA2	FWD
25.5 	23.3 	0 	190	4.0	16	6.9	AREA2	FWD
19.6 	18.6 	1 	192	3.5	16	6.5	AREA1	RWD
16.0 	14.9 	1 	138	2.4	23	4.9	AREA1	RWD
10.3 	9.9 	1 	104	1.6	26	4.7	AREA1	RWD
11.2 	10.7 	1 	104	1.6	25	4.4	AREA1	RWD
12.4 	11.6 	1 	124	1.8	24	4.5	AREA1	RWD
13.6 	12.8 	1 	124	1.8	24	4.4	AREA1	RWD
14.6 	13.8 	1 	124	1.8	24	4.6	AREA1	RWD
18.4 	16.9 	1 	170	2.7	20	6.9	AREA1	RWD
26.0 	23.8 	0 	195	3.5	17	6.2	AREA1	RWD
20.6 	19.4 	1 	195	3.5	16	6.9	AREA1	RWD
11.9 	11.4 	1 	104	1.6	26	4.3	AREA1	RWD
72.3 	65.8 	0 	282	4.4	12	8.9	AREA1	FWD
39.3 	35.8 	0 	217	4.6	12	8.6	AREA1	FWD
26.0 	24.0 	0 	174	2.5	18	6.9	AREA1	FWD
45.7 	39.8 	0 	235	4.7	15	8.3	AREA1	FWD
64.8 	56.5 	0 	235	4.7	13	8.1	AREA1	FWD
39.2 	34.6 	0 	230	3.3	18	6.4	AREA1	FWD
32.4 	28.8 	0 	225	3.3	20	6.3	AREA1	RWD
31.0 	27.4 	0 	215	3.0	18	6.1	AREA1	AWD
32.4 	28.6 	0 	215	3.0	18	6.6	AREA1	AWD
41.0 	36.2 	0 	220	3.0	18	6.3	AREA1	AWD
48.5 	42.2 	0 	300	4.3	18	9.0	AREA1	AWD
55.8 	48.6 	0 	290	4.3	18	8.6	AREA1	AWD
63.2 	55.1 	0 	300	4.3	18	8.4	AREA1	AWD
32.5 	28.6 	0 	215	3.0	18	6.0	AREA1	AWD
52.8 	46.4 	0 	300	5.4	13	8.8	AREA2	FWD
42.9 	39.4 	0 	302	4.6	13	8.6	AREA2	RWD
32.5 	30.0 	0 	232	3.0	20	6.2	AREA2	AWD
36.9 	33.9 	0 	232	3.0	20	6.7	AREA2	AWD
40.1 	36.8 	0 	280	3.9	17	8.1	AREA2	AWD
43.5 	39.9 	0 	280	3.9	17	8.4	AREA2	AWD
41.8 	38.4 	0 	239	4.6	17	8.3	AREA2	AWD
44.9 	41.2 	0 	239	4.6	17	8.5	AREA2	AWD
50.5 	46.2 	0 	239	4.6	17	8.4	AREA2	AWD
17.0 	15.4 	1 	115	1.6	28	5.0	AREA1	RWD
20.0 	18.1 	1 	163	1.6	25	4.6	AREA1	RWD
21.1 	19.7 	1 	130	2.0	22	4.9	AREA1	FWD
15.5 	14.5 	1 	148	2.0	26	4.9	AREA1	RWD
17.2 	15.9 	1 	160	2.3	25	4.2	AREA1	RWD
19.3 	17.8 	1 	160	2.3	24	4.1	AREA1	RWD
28.8 	26.6 	0 	200	3.0	18	6.7	AREA1	RWD
22.4 	20.7 	1 	142	1.8	23	4.6	AREA1	AWD
25.2 	23.3 	0 	142	1.8	23	4.6	AREA1	AWD
25.7 	23.8 	0 	197	1.3	18	0.0	AREA1	AWD
27.2 	25.2 	0 	238	1.3	18	0.2	AREA1	AWD
14.8 	14.1 	1 	143	2.3	24	4.5	AREA1	AWD
22.4 	20.5 	1 	207	4.0	15	6.6	AREA1	FWD
76.9 	71.5 	0 	292	5.0	13	8.9	AREA1	FWD
46.5 	43.3 	0 	288	5.0	14	8.4	AREA1	FWD
26.1 	24.2 	0 	189	1.8	22	4.7	AREA1	AWD
28.4 	26.4 	0 	215	3.2	19	6.5	AREA1	AWD
32.3 	30.1 	0 	168	2.6	20	6.1	AREA1	AWD
33.5 	31.2 	0 	168	2.6	19	6.4	AREA1	FWD
35.9 	33.5 	0 	215	3.2	19	6.3	AREA1	AWD
37.6 	35.0 	0 	215	3.2	20	6.3	AREA1	AWD
38.8 	36.2 	0 	215	3.2	19	6.1	AREA1	FWD
52.1 	48.5 	0 	349	3.2	16	6.4	AREA1	AWD
